Crohn's Disease , ITF2357 , Italfarmaco ,20-Oct-07, Phase 1 , Terminated\,,,, 
 Crohn's Disease , growth hormone , Children's Hospital Medical Center, Cincinnati , April 2005 , Phase 2 , Completed\,,,
 Celiac Disease , Bifidobacterium breve , University Clinical Centre, Maribor , October 2013 , Phase 1 , Completed\,,,
 Chronic Graft Versus Host Disease , Biological: mesenchymal stem cell , Chinese Academy of Medical Sciences ,20-Feb-12, Phase 2 , Unknown status\,,,,
 Behavioral Manifestations of Lesch-Nyhan Disease , sapropterin , University of California, San Diego , July 8-2009, Phase 2 , Withdrawn\,,,
 Parkinson's Disease , deferiprone , University Hospital, Lille , October 2009 , Phase 2 , Completed\,,,
 Alzheimer Disease , AADvac1 , Axon Neuroscience SE ,20-May-13, Phase 1 , Completed\,,,,
 Alzheimer Disease , Rofecoxib , National Institute on Aging (NIA) ,Feb 28-2000,2000, Phase 2 , Completed\,,,
 Fabry Disease , Replagal agalsidase alfa , National Institute of Neurological Disorders and Stroke (NINDS) ,20-Oct-03, Phase 1 , Completed\,,,,
 Crohn's Disease , Certolizumab Pegol , UCB Japan Co. Ltd. ,20-Mar-06, Phase 2 , Completed\,,,,
 Celiac Disease , Aspergillus niger prolyl endoprotease , VU University Medical Center ,20-May-08, Phase 1 , Completed\,,,,
 Alzheimer\'b4s Disease , Immune Globulin Intravenous (Human), 10% (IGIV, 10%) 400 mg/kg , Baxalta US Inc. , December 2008 , Phase 3 , Completed\,,
 Coronary Artery Disease , ABSORB implantation , Istituto Clinico Sant'Ambrogio ,20-Dec-13, Phase 4 , Unknown status\,,,,
 Nervous System Malformations , anakinra , National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS) ,20-Sep-03, Phase 1 , Terminated\,,,,
 Parkinson Disease , [123I]B-CIT SPECT imaging , Institute for Neurodegenerative Disorders ,20-Apr-00, Phase 2 , Completed\,,,,
" Parkinson's Disease With End of Dose ""Wearing Off"" ", Carbidopa/levodopa/entacapone , Novartis Pharmaceuticals ,20-Jan-05, Phase 4 , Completed\,,,,
 Huntington Disease , ACR16 10 mg , Teva Pharmaceutical Industries ,20-Oct-08, Phase 2 , Completed\,,,,
 Crohn Disease , infliximab or placebo , Centocor Inc., July 2000 , Phase 3 , Completed\,,,,
 Crohn's Disease , Capsule endoscopy, CT enterography -  colonoscopy -  small bowel follow-through -  Mayo Clinic , January 2004 , Phase 4 , Completed\,,,,
 Crohn's Disease , Infliximab , Janssen Biotech Inc., November 2010 , Phase 3 , Terminated\,,,,
 Alzheimer Disease , [123I]AV94 , Institute for Neurodegenerative Disorders ,20-Aug-07, Phase 1 , Terminated\,,,,
 Alzheimer's Disease , AADvac1 , Axon Neuroscience SE ,20-Jan-14, Phase 1 , Active, not recruiting\,,,
 Crohn's Disease , adalimumab , Abbott ,20-Feb-07, Phase 2 , Completed\,,,,
 Crohn Disease , Autologous haematopoietic stem cell transplant , European Group for Blood and Marrow Transplantation , June 2006 , Phase 3 , Terminated\,,,,
 Lyme Disease , Permethrin , University of Minnesota - Clinical and Translational Science Institute , June 2008 , Phase 3 , Terminated\,,,,
 Obesity , Low glycemic load diet , Queen's University ,20-Sep-04, Phase 4 , Terminated\,,,,
 Crohn's Disease , Time and attention + fructo-oligosaccharide placebo , Rush University Medical Center ,20-Sep-06, Phase 1 , Completed\,,,,
 Parkinson's Disease , Argentinean Tango classes , McGill University Health Center ,20-Apr-12, Phase 0 , Completed\,,,,
 Chronic Chagas Disease, Indeterminate , E1224 -  Drugs for Neglected Diseases , June 2011 , Phase 2 , Unknown status\,,,,
 Idiopathic Parkinson's Disease , Rotigotine , UCB BIOSCIENCES GmbH ,20-Feb-13, Phase 4 , Completed\,,,,
 Alzheimer's Disease , PF-04360365 8.5 mg/kg , Pfizer ,20-May-10, Phase 1 , Completed\,,,,
 Crohn's Disease , Adalimumab , AbbVie ,20-Sep-13, Phase 3 , Completed\,,,,
 Crohn's Disease , Celebrex , University of Pittsburgh ,20-Dec-03, Phase 4 , Terminated\,,,,
 Alzheimer's Disease , Huperzine A , Shandong Luye Pharmaceutical Co. LTD, May 2010 , Phase 2 , Unknown status\,,,,
 Sickle Cell Disease , NO-CO inhalation and expiration , Assistance Publique - H\'f4pitaux de Paris ,20-Feb-08, Phase 3 , Completed\,,,,
 Parkinson's Disease , Levodopa/carbidopa/entacapone , Novartis ,20-Oct-06, Phase 4 , Completed\,,,,
 Fabry Disease , Fabrazyme (agalsidase beta) , Genzyme -  a Sanofi Company , December 2002 , Phase 2 , Terminated\,,,,
 Autosomal Dominant Polycystic Kidney Disease (ADPKD) , Sirolimus , Mario Negri Institute for Pharmacological Research ,20-Sep-10, Phase 2 , Terminated\,,,,
 Anemia of Chronic Kidney Disease , Cholecalciferol , Johns Hopkins University ,20-May-12, Phase 2 , Unknown status\,,,,
 Parkinson's Disease , Traditional Therapeutic Exercise , University of Indianapolis ,20-Sep-09, Phase 1 , Completed\,,,,
 Ischemic Heart Disease , Ad-HGF , The First Affiliated Hospital with Nanjing Medical University ,20-Nov-12, Phase 1 , Unknown status\,,,,
 Parkinson's Disease , placebo , IMPAX Laboratories Inc., April 2009 , Phase 3 , Completed\,,,,
 Hypertensive Renal Disease , USUAL - take your BP Meds as you usually do , National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK) ,20-Nov-07, Phase 2 , Completed\,,,,
 Crohn's Disease , TRK-170 , Toray Industries Inc., April 2011 , Phase 2 , Completed\,,,,
 Parkinson Disease , Motor cortex stimulation , Assistance Publique - H\'f4pitaux de Paris ,20-Sep-05, Phase 1 , Unknown status\,,,,
 Gaucher Disease , GA-GCB , Shire ,20-Feb-05, Phase 1 , Completed\,,,,
 Pompe Disease , Clenbuterol , Dwight Koeberl M.D. - P.h.D, September 2013 , Phase 1 , Active, not recruiting\,,,
 Alzheimer's Disease , GSK933776 , GlaxoSmithKline ,20-May-10, Phase 1 , Completed\,,,,
 Huntington Disease , SEN0014196 (Low Dose) , Siena Biotech S.p.A. ,20-Mar-11, Phase 1 , Completed\,,,,
 Crohn's Disease , MT-1303 , Mitsubishi Tanabe Pharma Corporation ,20-Mar-15, Phase 2 , Completed\,,,,
 Crohn's Disease , AIN457 , Novartis Pharmaceuticals ,20-Aug-08, Phase 2 , Terminated\,,,,
 Celiac Disease , Prednisolone and Gluten free diet , All India Institute of Medical Sciences - New Delhi, April 2009 , Phase 2 , Completed\,,,,
 Parkinson Disease , Coenzyme Q10 with vitamin E , Weill Medical College of Cornell University ,20-Dec-08, Phase 3 , Terminated\,,,,
 Chronic Kidney Disease , Aspirin , University of Texas Southwestern Medical Center ,20-Jan-13, Phase 1 , Unknown status\,,,,
 Alzheimer Disease , 3APS , Bellus Health Inc , June 2004 , Phase 3 , Unknown status\,,,,
 Alzheimer's Disease , Dimebon , Medivation Inc., September 2005 , Phase 2 , Completed\,,,,
 Asthma , Chronic Disease Self-Management Online Workshop , Stanford University ,20-Jan-10, Phase 2 , Completed\,,,,
 Bipolar Disorder , Bipolar Disorder Program , VA Office of Research and Development , July 1997 , Phase 3 , Completed\,,,,
 Parkinson's Disease , Pramipexole / Rasagiline Mesylate once daily , Pharma Two B Ltd. ,20-Dec-13, Phase 2 , Active, not recruiting\,,,
 Parkinson Disease , Chinese exercise modalities , National Center for Complementary and Integrative Health (NCCIH) ,Jan 23 - 2002, Phase 1 , Completed\,,,,
 Parkinson Disease , 50 HZ Repetitive TMS , National Institute of Neurological Disorders and Stroke (NINDS) ,20-Sep-09, Phase 1 , Completed\,,,,
 Crohn's Disease , Pillcam colon capsule and PillCam\'99 Prep Procedure , Given Imaging Ltd. , June 2012 , Phase 1 , Completed\,,,,
 Huntington Disease , minocycline , Merit Cudkowicz ,20-Apr-06, Phase 2 , Completed\,,,,
 Parkinson's Disease , Relaxation guided imagery , Rambam Health Care Campus ,20-May-10, Phase 0 , Completed\,,,,
 Parkinson's Disease , creatine , University of Rochester ,20-Mar-07, Phase 3 , Terminated\,,,,
 Crohns Disease , Vitamin D , University of Aarhus ,20-Sep-05, Phase 2 , Unknown status\,,,,
 Alzheimer Disease , DBS-f on , Functional Neuromodulation Ltd ,20-May-12, Phase 1 , Active, not recruiting\,,,
 Crohn's Disease , Certolizumab pegol , UCB Pharma ,20-Feb-06, Phase 3 , Completed\,,,,
 Inherited Metabolic Storage Diseases , CAMPATH-1H , Baylor College of Medicine , June 2002 , Phase 1 , Terminated\,,,,
 Coronary Heart Disease , L-Citrulline malate , Masih Daneshvari Hospital ,20-Aug-13, Phase 0 , Unknown status\,,,,
 Parkinson Disease , ropinirole PR/XR , GlaxoSmithKline ,20-Mar-09, Phase 3 , Completed\,,,,
 Crohn's Disease , Adalimumab 40 mg eow or ew , Abbott ,20-Aug-02, Phase 3 , Completed\,,,,
 Parkinson's Disease , Rasagiline , Teva Branded Pharmaceutical Products  R&D Inc. , November 2012 , Phase 4 , Completed\,,,,
 Pediatric , Second generation of colon capsule endoscopy (GIVEN IMAGING) , Azienda Policlinico Umberto I ,20-Sep-13, Phase 4 , Completed\,,,,
 Parkinson's Disease , levodopa-carbidopa , Osmotica Pharmaceutical US LLC ,20-Nov-07, Phase 2 , Completed\,,,,
 Parkinson's Disease , Rasagiline Mesylate , Teva Pharmaceutical Industries ,20-Nov-05, Phase 3 , Completed\,,,,
 Crohn's Disease , chondroitin sulfate , University Hospitals Cleveland Medical Center ,20-Jan-11, Phase 1 , Withdrawn\,,,,
 Alzheimer's Disease , LY450139 , Eli Lilly and Company ,20-Sep-08, Phase 3 , Completed\,,,,
 Sickle Cell Disease , Albuterol , Duke University ,20-Aug-13, Phase 1 , Completed\,,,,
 Alzheimer's Disease , Rivastigmine transdermal patch , Novartis Pharmaceuticals ,20-Jan-07, Phase 3 , Completed\,,,,
 Idiopathic Parkinson's Disease , Liatermin (r-metHuGDNF) , Amgen ,20-Mar-03, Phase 1 , Completed\,,,,
 Liver Disease, Alcoholic , S-adenosylmethionine - University of California Davis, September 2005 , Phase 3 , Completed\,,,,
 Alzheimer Disease , Far Infrared Radiation (5um to 20 umwavelength), GAAD Medical Research Institute Inc. , February 2008 , Phase 1 , Unknown status\,,,,
 Inherited Mitochondrial Disease, Including Leigh Syndrome , Cysteamine Bitartrate Delayed-release Capsules (RP103) -  Raptor Pharmaceuticals Inc. , June 2014 , Phase 2 , Enrolling by invitation\,,,,
 Alzheimer's Disease , Donepezil , Eisai Korea Inc. ,20-May-06, Phase 4 , Completed\,,,,
 Parkinson Disease , Tango dancing , Washington University School of Medicine , July 2009 , Phase 2 , Completed\,,,,
 Lung Diseases , Pulmonary rehabilitation , University of Manitoba ,20-Apr-09, Phase 1 , Completed\,,,,
 Graft Versus Host Disease , voriconazole , Phillip Brian Smith ,20-Dec-08, Phase 1 , Completed\,,,,
 Huntington's Disease , Pridopidine , Teva Branded Pharmaceutical Products  R&D Inc. , February 2014 , Phase 2 , Completed\,,,,
 Mild Cognitive Impairment , Flutemetamol (18F) Injection , GE Healthcare ,20-Dec-09, Phase 3 , Completed\,,,,
 Hodgkin's Disease , Mantle irradiation , Dana-Farber Cancer Institute ,19-May-92, Phase 2 , Completed\,,,,
 Peripheral Vascular Disease , Liprostin [liposomal Prostaglandin E1] , Endovasc ,20-Feb-03, Phase 2 , Unknown status\,,,,
 Parkinson's Disease , APL-130277 , Cynapsus Therapeutics Inc ,20-Aug-14, Phase 2 , Completed\,,,,
 Huntington Disease , pridopidine , Teva Branded Pharmaceutical Products  R&D Inc. ,20-Mar-05, Phase 2 , Active, not recruiting\,,,
 Periodontal Diseases , Treatment of periodontal disease , King Edward Memorial Hospital ,20-Oct-02, Phase 2 , Unknown status\,,,,
 Crohn's Disease , Semapimod , Ferring Pharmaceuticals ,20-Apr-06, Phase 2 , Completed\,,,,
 Crohn's Disease , Certolizumab pegol , UCB Pharma ,, Phase 3 , Completed\,,,,
 Alzheimer's Disease , Octohydroaminoacridine Succinate Tablets , Changchun Huayang High-tech Co., June 2011 , Phase 2 , Unknown status\,,,,
 Parkinson's Disease , [123I], Institute for Neurodegenerative Disorders , January 2006 , Phase 2 ,,,,,
 Sickle Cell Disease , Vitamin D3 ," Gary M Brittenham, MD",,, Completed\,,,,
 Parkinson's Disease , repetitive transcranial stimulation (r-TMS) , Sheba Medical Center ,20-Apr-08, January 2011 , Phase 1 , Completed\,,,
 Alzheimer's Disease , Resveratrol , Alzheimer's Disease Cooperative Study (ADCS) ,20-May-12, Phase 2 , Completed\,,,,
 Parkinson's Disease , Low frequency DBS of the pedunculopontine nucleus , H\'f4pital de la Salp\'e9tri\'e8re ,20-May-09, Phase 2 , Completed\,,,,
 Parkinson's Disease , TCH346 (dibenz[b,f]oxepin-10-ylmethyl-prop-2-ynyl-amine, hydrogen maleate salt) , Phase 1 , Completed\,,,,
 Crohn's Disease , D9421-C, 9mg , AstraZeneca , Novartis , January 2002 , Phase 1 , Completed\,,
 Crohn's Disease , AMG 139 , Amgen ,20-Feb-11, October 2006 , Phase 2 , Completed\,,,
 Huntington's Disease , AFQ056 , Novartis Pharmaceuticals ,20-Nov-09, Phase 1 , Completed\,,,,
 Alzheimer Disease , [18F]-FEPPA , Institute for Neurodegenerative Disorders ,20-Aug-09, Phase 2 , Terminated\,,,,
 Crohn's Disease , Delayed Release 6MP or Calcitriol vs. Purinethol , Teva GTC , July 2006 , Phase 1 , Completed\,,,,
 Gastroesophageal Reflux Disease , Laparoscopic Nissen Fundoplication , Chinese University of Hong Kong ,20-Nov-06, Phase 1 , Completed\,,,,
